score,modifications,chassis
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.0,new_p+1000_r+0.01.json,
1.01,new_p+1000_r+0.01.json,
1.01,new_p+1000_r+0.01.json,Eco2C1G3T1
1.18,new_p+100_r+100.json,
1.18,new_p+100_r+100.json,
1.0,new_p+100_r+100.json,
1.18,new_p+100_r+100.json,
1.19,new_p+100_r+100.json,
1.19,new_p+100_r+100.json,
2.89,new_p+100_r+100.json,
1.0,new_p+100_r+100.json,
2.89,new_p+100_r+100.json,
4.44,new_p+100_r+100.json,
4.44,new_p+100_r+100.json,
1.0,new_p+100_r+100.json,
2.89,new_p+100_r+100.json,
4.44,new_p+100_r+100.json,
4.44,new_p+100_r+100.json,
1.0,new_p+100_r+100.json,
1.0,new_p+100_r+100.json,
1.0,new_p+100_r+100.json,
4.44,new_p+100_r+100.json,
4.44,new_p+100_r+100.json,
38.15,new_p+100_r+100.json,
38.15,new_p+100_r+100.json,Eco2C1G3T1
1.51,new_p+1000_r+10.json,
1.08,new_p+1000_r+10.json,
1.01,new_p+1000_r+10.json,
1.07,new_p+1000_r+10.json,
1.02,new_p+1000_r+10.json,
1.01,new_p+1000_r+10.json,
1.51,new_p+1000_r+10.json,Eco1C1G1T1
0.0,new_p+0.001_r+1000.json,Eco1C2G2T2
289.03,new_p+100_r+1.json,
55.16,new_p+100_r+1.json,
2.2,new_p+100_r+1.json,
84.75,new_p+100_r+1.json,
1.75,new_p+100_r+1.json,
2.21,new_p+100_r+1.json,
289.03,new_p+100_r+1.json,Eco1C1G1T1
1.01,new_p+0.01_r+0.1.json,
1.02,new_p+0.01_r+0.1.json,
1.01,new_p+0.01_r+0.1.json,
1.01,new_p+0.01_r+0.1.json,
1.01,new_p+0.01_r+0.1.json,
1.0,new_p+0.01_r+0.1.json,
1.02,new_p+0.01_r+0.1.json,
1.01,new_p+0.01_r+0.1.json,
1.01,new_p+0.01_r+0.1.json,
1.02,new_p+0.01_r+0.1.json,
1.0,new_p+0.01_r+0.1.json,
1.01,new_p+0.01_r+0.1.json,
1.01,new_p+0.01_r+0.1.json,
1.02,new_p+0.01_r+0.1.json,
1.0,new_p+0.01_r+0.1.json,
1.0,new_p+0.01_r+0.1.json,
1.01,new_p+0.01_r+0.1.json,
1.0,new_p+0.01_r+0.1.json,
1.01,new_p+0.01_r+0.1.json,
1.0,new_p+0.01_r+0.1.json,
1.0,new_p+0.01_r+0.1.json,
1.02,new_p+0.01_r+0.1.json,Eco2C1G3T1
727.32,new_p+10_r+100.json,
287.96,new_p+10_r+100.json,
920.64,new_p+10_r+100.json,
77.5,new_p+10_r+100.json,
775.91,new_p+10_r+100.json,
661.28,new_p+10_r+100.json,
920.64,new_p+10_r+100.json,Eco1C2G2T2
1.2,new_p+0.01_r+1000.json,
1.18,new_p+0.01_r+1000.json,
1.01,new_p+0.01_r+1000.json,
1.33,new_p+0.01_r+1000.json,
1.0,new_p+0.01_r+1000.json,
1.01,new_p+0.01_r+1000.json,
1.33,new_p+0.01_r+1000.json,Eco1C1G1T1
107.91,new_p+10_r+1.json,
56.68,new_p+10_r+1.json,
5.5,new_p+10_r+1.json,
46.14,new_p+10_r+1.json,
83.32,new_p+10_r+1.json,
250.66,new_p+10_r+1.json,
107.94,new_p+10_r+1.json,
5.98,new_p+10_r+1.json,
107.91,new_p+10_r+1.json,
83.32,new_p+10_r+1.json,
250.66,new_p+10_r+1.json,
5.98,new_p+10_r+1.json,
107.94,new_p+10_r+1.json,
287.66,new_p+10_r+1.json,
250.66,new_p+10_r+1.json,
5.98,new_p+10_r+1.json,
5.98,new_p+10_r+1.json,
5.85,new_p+10_r+1.json,
287.66,new_p+10_r+1.json,
250.66,new_p+10_r+1.json,
250.66,new_p+10_r+1.json,
287.66,new_p+10_r+1.json,Eco2C1G3T1
1.39,new_p+1000_r+1000.json,
1.09,new_p+1000_r+1000.json,
1.02,new_p+1000_r+1000.json,
1.09,new_p+1000_r+1000.json,
1.01,new_p+1000_r+1000.json,
1.02,new_p+1000_r+1000.json,
1.39,new_p+1000_r+1000.json,Eco1C1G1T1
1.01,new_p+0.01_r+0.01.json,
1.02,new_p+0.01_r+0.01.json,
1.0,new_p+0.01_r+0.01.json,
1.01,new_p+0.01_r+0.01.json,
1.01,new_p+0.01_r+0.01.json,
1.0,new_p+0.01_r+0.01.json,
1.02,new_p+0.01_r+0.01.json,
1.01,new_p+0.01_r+0.01.json,
1.01,new_p+0.01_r+0.01.json,
1.02,new_p+0.01_r+0.01.json,
1.0,new_p+0.01_r+0.01.json,
1.01,new_p+0.01_r+0.01.json,
1.02,new_p+0.01_r+0.01.json,
1.02,new_p+0.01_r+0.01.json,
1.0,new_p+0.01_r+0.01.json,
1.01,new_p+0.01_r+0.01.json,
1.01,new_p+0.01_r+0.01.json,
1.0,new_p+0.01_r+0.01.json,
1.01,new_p+0.01_r+0.01.json,
1.0,new_p+0.01_r+0.01.json,
1.0,new_p+0.01_r+0.01.json,
1.02,new_p+0.01_r+0.01.json,Eco2C1G3T1
1.38,new_p+0.01_r+100.json,
1.18,new_p+0.01_r+100.json,
1.01,new_p+0.01_r+100.json,
1.37,new_p+0.01_r+100.json,
1.0,new_p+0.01_r+100.json,
1.0,new_p+0.01_r+100.json,
1.38,new_p+0.01_r+100.json,Eco1C1G1T1
1.0,new_p+1000_r+0.001.json,
1.0,new_p+1000_r+0.001.json,
1.0,new_p+1000_r+0.001.json,
1.0,new_p+1000_r+0.001.json,
1.0,new_p+1000_r+0.001.json,
1.0,new_p+1000_r+0.001.json,
1.0,new_p+1000_r+0.001.json,
1.0,new_p+1000_r+0.001.json,
1.0,new_p+1000_r+0.001.json,
1.0,new_p+1000_r+0.001.json,
1.0,new_p+1000_r+0.001.json,
1.0,new_p+1000_r+0.001.json,
1.0,new_p+1000_r+0.001.json,
1.0,new_p+1000_r+0.001.json,
1.0,new_p+1000_r+0.001.json,
1.0,new_p+1000_r+0.001.json,
1.0,new_p+1000_r+0.001.json,
1.0,new_p+1000_r+0.001.json,
1.0,new_p+1000_r+0.001.json,
1.0,new_p+1000_r+0.001.json,
1.01,new_p+1000_r+0.001.json,
1.01,new_p+1000_r+0.001.json,Eco2C1G3T1
1.0,new_p+1000_r+100.json,
1.0,new_p+1000_r+100.json,
1.01,new_p+1000_r+100.json,
1.0,new_p+1000_r+100.json,
1.0,new_p+1000_r+100.json,
1.0,new_p+1000_r+100.json,
1.01,new_p+1000_r+100.json,Eco1C2G2T2
0.0,new_p+0.001_r+100.json,Eco1C2G2T2
80.3,new_p+0.1_r+0.1.json,
49.13,new_p+0.1_r+0.1.json,
55.84,new_p+0.1_r+0.1.json,
171.3,new_p+0.1_r+0.1.json,
123.32,new_p+0.1_r+0.1.json,
223.21,new_p+0.1_r+0.1.json,
223.21,new_p+0.1_r+0.1.json,Eco1C2G2T2
1.18,new_p+100_r+1.json,
1.18,new_p+100_r+1.json,
1.0,new_p+100_r+1.json,
1.18,new_p+100_r+1.json,
1.19,new_p+100_r+1.json,
1.19,new_p+100_r+1.json,
2.89,new_p+100_r+1.json,
1.0,new_p+100_r+1.json,
2.89,new_p+100_r+1.json,
4.44,new_p+100_r+1.json,
4.44,new_p+100_r+1.json,
1.0,new_p+100_r+1.json,
2.89,new_p+100_r+1.json,
4.44,new_p+100_r+1.json,
4.44,new_p+100_r+1.json,
1.0,new_p+100_r+1.json,
1.0,new_p+100_r+1.json,
1.0,new_p+100_r+1.json,
2.89,new_p+100_r+1.json,
2.89,new_p+100_r+1.json,
38.14,new_p+100_r+1.json,
38.14,new_p+100_r+1.json,Eco2C1G3T1
43.56,new_p+0.1_r+0.01.json,
60.32,new_p+0.1_r+0.01.json,
11.72,new_p+0.1_r+0.01.json,
34.8,new_p+0.1_r+0.01.json,
46.92,new_p+0.1_r+0.01.json,
1.1,new_p+0.1_r+0.01.json,
76.48,new_p+0.1_r+0.01.json,
18.46,new_p+0.1_r+0.01.json,
54.42,new_p+0.1_r+0.01.json,
65.74,new_p+0.1_r+0.01.json,
1.11,new_p+0.1_r+0.01.json,
27.4,new_p+0.1_r+0.01.json,
70.94,new_p+0.1_r+0.01.json,
79.37,new_p+0.1_r+0.01.json,
1.12,new_p+0.1_r+0.01.json,
14.72,new_p+0.1_r+0.01.json,
20.02,new_p+0.1_r+0.01.json,
1.09,new_p+0.1_r+0.01.json,
54.68,new_p+0.1_r+0.01.json,
1.1,new_p+0.1_r+0.01.json,
1.11,new_p+0.1_r+0.01.json,
79.37,new_p+0.1_r+0.01.json,Eco2C1G3T1
305.83,new_p+10_r+10.json,
479.7,new_p+10_r+10.json,
537.4,new_p+10_r+10.json,
94.55,new_p+10_r+10.json,
340.49,new_p+10_r+10.json,
722.99,new_p+10_r+10.json,
722.99,new_p+10_r+10.json,Eco1C2G2T2
125.43,new_p+100_r+10.json,
50.2,new_p+100_r+10.json,
2.2,new_p+100_r+10.json,
84.75,new_p+100_r+10.json,
2.18,new_p+100_r+10.json,
2.21,new_p+100_r+10.json,
125.43,new_p+100_r+10.json,Eco1C1G1T1
107.91,new_p+10_r+0.001.json,
107.94,new_p+10_r+0.001.json,
5.5,new_p+10_r+0.001.json,
56.68,new_p+10_r+0.001.json,
287.65,new_p+10_r+0.001.json,
83.19,new_p+10_r+0.001.json,
107.91,new_p+10_r+0.001.json,
5.98,new_p+10_r+0.001.json,
107.9,new_p+10_r+0.001.json,
287.66,new_p+10_r+0.001.json,
250.66,new_p+10_r+0.001.json,
5.98,new_p+10_r+0.001.json,
107.9,new_p+10_r+0.001.json,
287.66,new_p+10_r+0.001.json,
250.66,new_p+10_r+0.001.json,
5.98,new_p+10_r+0.001.json,
5.98,new_p+10_r+0.001.json,
5.85,new_p+10_r+0.001.json,
287.66,new_p+10_r+0.001.json,
250.66,new_p+10_r+0.001.json,
250.66,new_p+10_r+0.001.json,
287.66,new_p+10_r+0.001.json,Eco2C1G3T1
355.66,new_p+1_r+1.json,
362.41,new_p+1_r+1.json,
199.76,new_p+1_r+1.json,
351.95,new_p+1_r+1.json,
362.06,new_p+1_r+1.json,
35.28,new_p+1_r+1.json,
396.44,new_p+1_r+1.json,
216.36,new_p+1_r+1.json,
375.96,new_p+1_r+1.json,
388.22,new_p+1_r+1.json,
35.37,new_p+1_r+1.json,
221.58,new_p+1_r+1.json,
382.52,new_p+1_r+1.json,
403.39,new_p+1_r+1.json,
35.43,new_p+1_r+1.json,
213.54,new_p+1_r+1.json,
220.3,new_p+1_r+1.json,
24.45,new_p+1_r+1.json,
382.64,new_p+1_r+1.json,
35.34,new_p+1_r+1.json,
35.38,new_p+1_r+1.json,
403.39,new_p+1_r+1.json,Eco2C1G3T1
0.0,new_p+0.001_r+0.1.json,Eco2C1G3T1
0.0,new_p+0.001_r+1.json,Eco2C1G3T1
164.9,new_p+1_r+0.001.json,
327.56,new_p+1_r+0.001.json,
158.81,new_p+1_r+0.001.json,
179.95,new_p+1_r+0.001.json,
186.58,new_p+1_r+0.001.json,
321.22,new_p+1_r+0.001.json,
327.56,new_p+1_r+0.001.json,Eco1C1G1T1
1.18,new_p+100_r+1000.json,
1.18,new_p+100_r+1000.json,
1.0,new_p+100_r+1000.json,
1.18,new_p+100_r+1000.json,
1.19,new_p+100_r+1000.json,
1.19,new_p+100_r+1000.json,
2.89,new_p+100_r+1000.json,
1.0,new_p+100_r+1000.json,
2.89,new_p+100_r+1000.json,
2.89,new_p+100_r+1000.json,
4.44,new_p+100_r+1000.json,
1.0,new_p+100_r+1000.json,
2.89,new_p+100_r+1000.json,
2.89,new_p+100_r+1000.json,
2.89,new_p+100_r+1000.json,
1.0,new_p+100_r+1000.json,
1.0,new_p+100_r+1000.json,
1.0,new_p+100_r+1000.json,
2.89,new_p+100_r+1000.json,
2.89,new_p+100_r+1000.json,
38.14,new_p+100_r+1000.json,
38.14,new_p+100_r+1000.json,Eco2C1G3T1
50.5,new_p+0.1_r+0.001.json,
53.96,new_p+0.1_r+0.001.json,
146.26,new_p+0.1_r+0.001.json,
57.92,new_p+0.1_r+0.001.json,
542.84,new_p+0.1_r+0.001.json,
593.9,new_p+0.1_r+0.001.json,
593.9,new_p+0.1_r+0.001.json,Eco1C2G2T2
36.61,new_p+0.1_r+10.json,
60.32,new_p+0.1_r+10.json,
11.72,new_p+0.1_r+10.json,
30.84,new_p+0.1_r+10.json,
38.98,new_p+0.1_r+10.json,
1.1,new_p+0.1_r+10.json,
76.48,new_p+0.1_r+10.json,
18.46,new_p+0.1_r+10.json,
54.42,new_p+0.1_r+10.json,
65.74,new_p+0.1_r+10.json,
1.11,new_p+0.1_r+10.json,
27.4,new_p+0.1_r+10.json,
70.94,new_p+0.1_r+10.json,
79.23,new_p+0.1_r+10.json,
1.12,new_p+0.1_r+10.json,
14.72,new_p+0.1_r+10.json,
20.02,new_p+0.1_r+10.json,
1.09,new_p+0.1_r+10.json,
54.68,new_p+0.1_r+10.json,
1.1,new_p+0.1_r+10.json,
1.11,new_p+0.1_r+10.json,
79.23,new_p+0.1_r+10.json,Eco2C1G3T1
0.0,new_p+0.001_r+10.json,Eco1C2G2T2
180.94,new_p+10_r+1000.json,
325.82,new_p+10_r+1000.json,
190.19,new_p+10_r+1000.json,
170.38,new_p+10_r+1000.json,
319.12,new_p+10_r+1000.json,
154.39,new_p+10_r+1000.json,
325.82,new_p+10_r+1000.json,Eco1C1G1T1
107.91,new_p+10_r+10.json,
107.94,new_p+10_r+10.json,
5.5,new_p+10_r+10.json,
56.68,new_p+10_r+10.json,
287.65,new_p+10_r+10.json,
250.66,new_p+10_r+10.json,
107.94,new_p+10_r+10.json,
5.98,new_p+10_r+10.json,
107.9,new_p+10_r+10.json,
287.66,new_p+10_r+10.json,
250.66,new_p+10_r+10.json,
5.98,new_p+10_r+10.json,
107.9,new_p+10_r+10.json,
287.66,new_p+10_r+10.json,
250.66,new_p+10_r+10.json,
5.98,new_p+10_r+10.json,
5.98,new_p+10_r+10.json,
5.85,new_p+10_r+10.json,
287.66,new_p+10_r+10.json,
250.66,new_p+10_r+10.json,
250.66,new_p+10_r+10.json,
287.66,new_p+10_r+10.json,Eco2C1G3T1
1.18,new_p+100_r+1.json,
1.18,new_p+100_r+1.json,
36.38,new_p+100_r+1.json,
1.11,new_p+100_r+1.json,
1.18,new_p+100_r+1.json,
1.27,new_p+100_r+1.json,
36.38,new_p+100_r+1.json,Eco1C2G2T2
1.39,new_p+1000_r+1.json,
1.09,new_p+1000_r+1.json,
1.01,new_p+1000_r+1.json,
1.07,new_p+1000_r+1.json,
1.02,new_p+1000_r+1.json,
1.01,new_p+1000_r+1.json,
1.39,new_p+1000_r+1.json,Eco1C1G1T1
358.11,new_p+1_r+10.json,
362.41,new_p+1_r+10.json,
85.02,new_p+1_r+10.json,
348.99,new_p+1_r+10.json,
362.06,new_p+1_r+10.json,
35.28,new_p+1_r+10.json,
396.44,new_p+1_r+10.json,
216.36,new_p+1_r+10.json,
375.96,new_p+1_r+10.json,
388.22,new_p+1_r+10.json,
35.37,new_p+1_r+10.json,
221.58,new_p+1_r+10.json,
382.52,new_p+1_r+10.json,
403.39,new_p+1_r+10.json,
35.43,new_p+1_r+10.json,
213.54,new_p+1_r+10.json,
220.3,new_p+1_r+10.json,
24.45,new_p+1_r+10.json,
382.64,new_p+1_r+10.json,
35.34,new_p+1_r+10.json,
